step,value
1056000,0.41424268
1057000,0.4066568
1058000,0.45887795
1059000,0.41728514
1060000,0.3043125
1061000,0.58136976
1062000,0.37925872
1063000,0.45307598
1064000,0.39270347
1065000,0.3906197
1066000,0.33864465
1067000,0.4381573
1068000,0.5562148
1069000,0.35712722
1070000,0.35999963
1071000,0.29299816
1072000,0.46791098
1073000,0.4905043
1074000,0.37924063
1075000,0.451359
1076000,0.440696
1077000,0.258139
1078000,0.47087592
1079000,0.45097807
1080000,0.33060694
1081000,0.39116663
1082000,0.3471895
1083000,0.35296515
1084000,0.5262071
1085000,0.36710894
1086000,0.38662997
1087000,0.426249
1088000,0.4543806
1089000,0.28407496
1090000,0.40141362
1091000,0.38099405
1092000,0.3664388
1093000,0.42844385
1094000,0.31755903
1095000,0.31274962
1096000,0.42627487
1097000,0.4715464
1098000,0.42019135
1099000,0.3060427
1100000,0.38669413
1101000,0.4556778
1102000,0.36918917
1103000,0.45681512
1104000,0.44786346
1105000,0.49008545
1106000,0.44253457
1107000,0.38431823
1108000,0.45008063
1109000,0.40550044
1110000,0.42490807
1111000,0.41876876
1112000,0.37995124
1113000,0.4380922
1114000,0.40727353
1115000,0.42954487
1116000,0.40376982
1117000,0.38792914
1118000,0.38019603
1119000,0.330352
1120000,0.4359959
1121000,0.40613174
1122000,0.38482478
1123000,0.38699475
1124000,0.44803953
1125000,0.447384
1126000,0.40534112
1127000,0.32070783
1128000,0.4117941
1129000,0.41715148
1130000,0.34119207
1131000,0.41251338
1132000,0.31723407
1133000,0.45349348
1134000,0.30296016
1135000,0.3673904
1136000,0.41047996
1137000,0.37780392
1138000,0.3592955
1139000,0.41335773
1140000,0.4264935
1141000,0.2784984
1142000,0.415968
1143000,0.42303133
1144000,0.4996865
1145000,0.4699109
1146000,0.34542444
1147000,0.3602097
1148000,0.42096493
1149000,0.40602174
1150000,0.5028921
1151000,0.46149838
1152000,0.3167776
1153000,0.46187666
1154000,0.45573798
1155000,0.4014372
1156000,0.18862669
1157000,0.2826019
1158000,0.43018892
1159000,0.4915432
1160000,0.39562964
1161000,0.39816183
1162000,0.33353344
1163000,0.43933824
1164000,0.29531443
1165000,0.32561854
1166000,0.46141714
1167000,0.39464712
1168000,0.28567588
1169000,0.41790888
1170000,0.40741974
1171000,0.46046385
1172000,0.49957323
1173000,0.50382525
1174000,0.34938085
1175000,0.43599278
1176000,0.35619855
1177000,0.39284405
1178000,0.43576434
1179000,0.4196927
1180000,0.4612768
1181000,0.5441801
1182000,0.4681707
1183000,0.44450116
1184000,0.33495882
1185000,0.42250878
1186000,0.43015334
1187000,0.3452776
1188000,0.4412315
1189000,0.36256996
1190000,0.46009642
1191000,0.4537553
1192000,0.3216913
1193000,0.50467247
1194000,0.5599967
1195000,0.36716953
1196000,0.4847211
1197000,0.4960529
1198000,0.4667612
1199000,0.41901645
1200000,0.41577804
1201000,0.4464427
1202000,0.49771968
1203000,0.40262997
1204000,0.42848095
1205000,0.3526904
1206000,0.42715925
1207000,0.41063327
1208000,0.3613402
1209000,0.45527214
1210000,0.39339286
1211000,0.3840247
1212000,0.39671597
1213000,0.33382925
1214000,0.47417295
1215000,0.38062567
1216000,0.457379
1217000,0.39085448
1218000,0.35424414
1219000,0.3681974
1220000,0.4288649
1221000,0.40681297
1222000,0.38512632
1223000,0.42853734
1224000,0.45694688
1225000,0.37354872
1226000,0.43758988
1227000,0.2948951
1228000,0.3127203
1229000,0.4820843
1230000,0.48539898
1231000,0.51661116
1232000,0.4471393
1233000,0.48000765
1234000,0.50916207
1235000,0.37710372
1236000,0.397914
1237000,0.34460777
1238000,0.5451372
1239000,0.34187034
1240000,0.4500148
1241000,0.513535
1242000,0.4210966
1243000,0.40336677
1244000,0.38146344
1245000,0.43108457
1246000,0.4654817
1247000,0.30302185
1248000,0.5334156
1249000,0.27421668
1250000,0.4562405
1251000,0.36711547
1252000,0.35304883
1253000,0.418775
1254000,0.5302288
1255000,0.4271663
1256000,0.42858002
1257000,0.5558996
1258000,0.51812625
1259000,0.38978744
1260000,0.32508564
1261000,0.5445021
1262000,0.3959201
1263000,0.48487392
1264000,0.44039708
1265000,0.40327153
1266000,0.43047565
1267000,0.31948692
1268000,0.40572816
1269000,0.466893
1270000,0.5362898
1271000,0.39645365
1272000,0.31172642
1273000,0.4130003
1274000,0.55323166
1275000,0.43344024
1276000,0.4362857
1277000,0.47107026
1278000,0.43748045
1279000,0.48774028
1280000,0.5059685
1281000,0.33821094
1282000,0.36372438
1283000,0.35610682
1284000,0.31006724
1285000,0.4743218
1286000,0.33153212
1287000,0.34536546
1288000,0.34837204
1289000,0.3956668
1290000,0.41796952
1291000,0.35194808
1292000,0.35910603
1293000,0.3918155
1294000,0.41951042
1295000,0.37197608
1296000,0.4632482
1297000,0.24665588
1298000,0.44548586
1299000,0.5022234
1300000,0.4231156
1301000,0.32369283
1302000,0.35173142
1303000,0.4074664
1304000,0.34887734
1305000,0.48829317
1306000,0.41608968
1307000,0.45077038
