step,value
791000,0.46524933
792000,0.45524356
793000,0.3950503
794000,0.38721594
795000,0.31737244
796000,0.3769211
797000,0.45314378
798000,0.43370196
799000,0.42364788
800000,0.47574383
801000,0.42749816
802000,0.3092598
803000,0.4308234
804000,0.38573128
805000,0.35603476
806000,0.35615492
807000,0.32163757
808000,0.5292366
809000,0.3273457
810000,0.42178252
811000,0.36646384
812000,0.47381195
813000,0.44166982
814000,0.45102212
815000,0.39810097
816000,0.38660762
817000,0.36538365
818000,0.2894705
819000,0.4904878
820000,0.3674578
821000,0.5209696
822000,0.4173846
823000,0.43708435
824000,0.4701046
825000,0.35126865
826000,0.36956093
827000,0.4786776
828000,0.42600775
829000,0.30311477
830000,0.4365285
831000,0.44003597
832000,0.4029254
833000,0.31604496
834000,0.3601585
835000,0.40422428
836000,0.3974094
837000,0.45276415
838000,0.43858454
839000,0.43249837
840000,0.44829395
841000,0.41445473
842000,0.46072662
843000,0.5115415
844000,0.53841263
845000,0.36491716
846000,0.4085502
847000,0.32356274
848000,0.36332968
849000,0.37882897
850000,0.34227788
851000,0.4818779
852000,0.41716763
853000,0.4114439
854000,0.4012482
855000,0.39951023
856000,0.40366977
857000,0.35562304
858000,0.45963538
859000,0.31292346
860000,0.4297221
861000,0.33379957
862000,0.40067643
863000,0.30208734
864000,0.4673428
865000,0.44028574
866000,0.3855669
867000,0.37011203
868000,0.4513093
869000,0.34542382
870000,0.40078312
871000,0.45650688
872000,0.31673813
873000,0.4268406
874000,0.37738234
875000,0.396518
876000,0.4394327
877000,0.38036433
878000,0.38684303
879000,0.40772918
880000,0.47887447
881000,0.3859036
882000,0.45898396
883000,0.44551274
884000,0.28652224
885000,0.3479987
886000,0.30638802
887000,0.48718125
888000,0.45803273
889000,0.37091854
890000,0.50230336
891000,0.46072146
892000,0.2286404
893000,0.41869956
894000,0.4757905
895000,0.4035465
896000,0.4080355
897000,0.48567948
898000,0.4190945
899000,0.43230578
900000,0.52868927
901000,0.37721947
902000,0.33090398
903000,0.42055315
904000,0.4066258
905000,0.48646814
906000,0.35841304
907000,0.38333285
908000,0.37093785
909000,0.38975567
910000,0.384962
911000,0.4167049
912000,0.41784894
913000,0.4250677
914000,0.44347423
915000,0.13175297
916000,0.29531893
917000,0.37645265
918000,0.45360798
919000,0.30393052
920000,0.41900358
921000,0.35233033
922000,0.35440072
923000,0.48003903
924000,0.42920083
925000,0.38744235
926000,0.48959476
927000,0.38928673
928000,0.40308526
929000,0.40392214
930000,0.44226807
931000,0.3440291
932000,0.35553056
933000,0.40866163
934000,0.41325986
935000,0.42913777
936000,0.37345347
937000,0.4519461
938000,0.4617846
939000,0.5397101
940000,0.23553503
941000,0.3139034
942000,0.4115726
943000,0.3178015
944000,0.325258
945000,0.412931
946000,0.45833606
947000,0.3229513
948000,0.35854587
949000,0.37797317
950000,0.39657983
951000,0.5373373
952000,0.3556324
953000,0.45982513
954000,0.36386174
955000,0.46052983
956000,0.4164627
957000,0.4122563
958000,0.4229586
959000,0.3347549
960000,0.4239015
961000,0.35920933
962000,0.31653693
963000,0.41329497
964000,0.53188187
965000,0.39776948
966000,0.4525633
967000,0.40302163
968000,0.35406467
969000,0.40797642
970000,0.47397316
971000,0.3847712
972000,0.42996365
973000,0.39413616
974000,0.3582332
975000,0.33247486
976000,0.3279936
977000,0.3343188
978000,0.37972894
979000,0.36769837
980000,0.40392005
981000,0.33027145
982000,0.31774414
983000,0.4074841
984000,0.38490766
985000,0.473217
986000,0.45462933
987000,0.4853295
988000,0.40098324
989000,0.43773696
990000,0.41020262
991000,0.39554328
992000,0.36238664
993000,0.44534236
994000,0.354731
995000,0.34480044
996000,0.49187642
997000,0.33104518
998000,0.49723604
999000,0.42816198
1000000,0.39822716
1001000,0.5089402
1002000,0.5034779
1003000,0.39182037
1004000,0.3794282
1005000,0.38995418
1006000,0.47227797
1007000,0.4207658
1008000,0.42846468
1009000,0.38405085
1010000,0.41612065
1011000,0.34725165
1012000,0.48697177
1013000,0.37259352
1014000,0.43535522
1015000,0.46275565
1016000,0.31106687
1017000,0.425266
1018000,0.4472623
1019000,0.5004307
1020000,0.46424928
1021000,0.34208608
1022000,0.43750823
1023000,0.3472605
1024000,0.31957665
1025000,0.44580296
1026000,0.42410952
1027000,0.23599257
1028000,0.21888573
1029000,0.3874905
1030000,0.4232615
1031000,0.37872514
1032000,0.35092196
1033000,0.43332145
1034000,0.48305535
1035000,0.4182063
1036000,0.49555507
1037000,0.38879773
1038000,0.35560653
1039000,0.40935636
1040000,0.45005447
1041000,0.4552024
1042000,0.4162137
1043000,0.38409227
1044000,0.37514982
1045000,0.45227855
1046000,0.40813965
1047000,0.45013407
1048000,0.33382007
1049000,0.4082818
1050000,0.37608552
1051000,0.36136413
1052000,0.3297727
1053000,0.4690902
1054000,0.49917912
1055000,0.3330573
