step,value
1000,-0.01800479
2000,0.04193869
3000,0.02494368
4000,-0.0009843
5000,0.01026585
6000,-0.05069446
7000,0.05986784
8000,0.06947194
9000,0.05109381
10000,0.0302016
11000,0.0651082
12000,0.11423007
13000,0.13486288
14000,0.1749749
15000,0.15867181
16000,0.2252196
17000,0.21990936
18000,0.21092357
19000,0.09463279
20000,0.11309255
21000,0.34058797
22000,0.3033923
23000,0.19179977
24000,0.3436494
25000,0.2673231
26000,0.3882927
27000,0.30944225
28000,0.28285512
29000,0.35707623
30000,0.42724994
31000,0.30784953
32000,0.3467904
33000,0.41391578
34000,0.30611518
35000,0.36746633
36000,0.3447366
37000,0.28813484
38000,0.3324156
39000,0.4334012
40000,0.36329728
41000,0.24549566
42000,0.3721472
43000,0.2520384
44000,0.38908875
45000,0.3483347
46000,0.30807436
47000,0.34472737
48000,0.33513093
49000,0.30733758
50000,0.31269178
51000,0.34287733
52000,0.35283586
53000,0.3743607
54000,0.2919855
55000,0.3888489
56000,0.35800698
57000,0.37301928
58000,0.27461782
59000,0.25616625
60000,0.38141006
61000,0.43264592
62000,0.40541747
63000,0.32994923
64000,0.30529958
65000,0.32319626
66000,0.383383
67000,0.22532694
68000,0.36939842
69000,0.29386184
70000,0.33412614
71000,0.31313998
72000,0.2608271
73000,0.462325
74000,0.2672399
75000,0.33536795
76000,0.35551608
77000,0.30188042
78000,0.39902574
79000,0.35533574
80000,0.43404865
81000,0.3595938
82000,0.2668277
83000,0.33897588
84000,0.37409496
85000,0.3508126
86000,0.3973529
87000,0.29540616
88000,0.30510765
89000,0.4004633
90000,0.33304757
91000,0.34151292
92000,0.34140772
93000,0.37668929
94000,0.31040367
95000,0.39468065
96000,0.32363644
97000,0.36091146
98000,0.41296983
99000,0.35175607
100000,0.32286298
101000,0.2826864
102000,0.3376978
103000,0.24628834
104000,0.28181842
105000,0.36307094
106000,0.28902352
107000,0.32969522
108000,0.3479975
109000,0.2863189
110000,0.24100184
111000,0.3201534
112000,0.37264195
113000,0.33757064
114000,0.33403972
115000,0.35932162
116000,0.33992735
117000,0.34913984
118000,0.2907776
119000,0.33317015
120000,0.31306162
121000,0.33014664
122000,0.3247824
123000,0.2057798
124000,0.20613576
125000,0.27791446
126000,0.37092376
127000,0.2906857
128000,0.2767957
129000,0.28371632
130000,0.15797415
131000,0.27094057
132000,0.1421388
133000,0.29996586
134000,0.16103432
135000,0.3673028
136000,0.3241289
137000,0.28105703
138000,0.32265878
139000,0.43870613
140000,0.29285777
141000,0.35642022
142000,0.33161747
143000,0.36572462
144000,0.3320919
145000,0.4378039
146000,0.42449397
147000,0.3717025
148000,0.2905403
149000,0.32601047
150000,0.3373623
151000,0.4689125
152000,0.35372338
153000,0.36682796
154000,0.39770454
155000,0.32477453
156000,0.40649518
157000,0.4682268
158000,0.40880668
159000,0.39167503
160000,0.3691611
161000,0.32714823
162000,0.28533313
163000,0.41186076
164000,0.3063398
165000,0.29672828
166000,0.37260586
167000,0.44198832
168000,0.4441094
169000,0.38467354
170000,0.36450276
171000,0.28958705
172000,0.35671487
173000,0.32730842
174000,0.38339284
175000,0.3046326
176000,0.25951037
177000,0.30818644
178000,0.3205748
179000,0.44005463
180000,0.3896139
181000,0.3346961
182000,0.32364902
183000,0.43920392
184000,0.36705217
185000,0.37015897
186000,0.35389808
187000,0.41999054
188000,0.38752154
189000,0.3372348
190000,0.2942938
191000,0.4047236
192000,0.27142522
193000,0.4419479
194000,0.33898062
195000,0.36184052
196000,0.28404802
197000,0.29205045
198000,0.38315088
199000,0.33071595
200000,0.4023168
201000,0.31589082
202000,0.2848652
203000,0.30845964
204000,0.43357077
205000,0.38179663
206000,0.3471827
207000,0.2883417
208000,0.37696153
209000,0.32260075
210000,0.35037
211000,0.34976438
212000,0.2128425
213000,0.3547589
214000,0.3458478
215000,0.35737208
216000,0.31237772
217000,0.3514825
218000,0.3992001
219000,0.2621293
220000,0.39355966
221000,0.22263739
222000,0.3518819
223000,0.3092284
224000,0.23814277
225000,0.29651722
226000,0.50332415
227000,0.33835754
228000,0.41993418
229000,0.33292952
230000,0.37232512
231000,0.33058786
232000,0.41149136
233000,0.35512495
234000,0.39341125
235000,0.32431582
236000,0.2848763
237000,0.32070798
238000,0.37690407
239000,0.23830277
240000,0.30405867
241000,0.38769075
242000,0.28249776
243000,0.32861644
244000,0.38597792
245000,0.42199743
246000,0.41151732
