step,value
561000,0.34876009821891785
562000,0.2962423861026764
563000,0.5100651979446411
564000,0.362363338470459
565000,0.34007230401039124
566000,0.3521939218044281
567000,0.33805662393569946
568000,0.35304558277130127
569000,0.3503570854663849
570000,0.45100143551826477
571000,0.28009679913520813
572000,0.4918989837169647
573000,0.4761873185634613
574000,0.5094743967056274
575000,0.429355263710022
576000,0.42547518014907837
577000,0.3409232199192047
578000,0.4123387038707733
579000,0.4627821743488312
580000,0.40656498074531555
581000,0.4364357888698578
582000,0.3765619099140167
583000,0.27843359112739563
584000,0.4705335795879364
585000,0.4444475769996643
586000,0.3043244481086731
587000,0.3107537627220154
588000,0.46739184856414795
589000,0.24431632459163666
590000,0.4045170545578003
591000,0.34209340810775757
592000,0.3946230411529541
593000,0.4244340658187866
594000,0.4149574935436249
595000,0.366994708776474
596000,0.4109196066856384
597000,0.3631269633769989
598000,0.3972048759460449
599000,0.3866921663284302
600000,0.43356624245643616
601000,0.4016140103340149
602000,0.3404220938682556
603000,0.461685448884964
604000,0.45229002833366394
605000,0.33561569452285767
606000,0.43410640954971313
607000,0.3205088675022125
608000,0.4243558645248413
609000,0.38922223448753357
610000,0.517192006111145
611000,0.4069206118583679
612000,0.4649464786052704
613000,0.3182736337184906
614000,0.41193312406539917
615000,0.348977655172348
616000,0.3518466055393219
617000,0.31779688596725464
618000,0.3335663378238678
619000,0.4265785217285156
620000,0.41783615946769714
621000,0.34100043773651123
622000,0.4747946560382843
623000,0.4190868139266968
624000,0.4901995062828064
625000,0.349587082862854
626000,0.4142484664916992
627000,0.43665292859077454
628000,0.3531741797924042
629000,0.3777678906917572
630000,0.39966168999671936
631000,0.4439369738101959
632000,0.39338651299476624
633000,0.40771716833114624
634000,0.39757415652275085
635000,0.4751638174057007
636000,0.3865213692188263
637000,0.34248560667037964
638000,0.34827107191085815
639000,0.43529513478279114
640000,0.37282171845436096
641000,0.2744687795639038
642000,0.29491326212882996
643000,0.35502585768699646
644000,0.3418971598148346
645000,0.29949048161506653
646000,0.41401270031929016
647000,0.2871001660823822
648000,0.3746293783187866
649000,0.44407540559768677
650000,0.5006676316261292
651000,0.3856416940689087
652000,0.38325390219688416
653000,0.4304739832878113
654000,0.3621504604816437
655000,0.45863020420074463
656000,0.4394415318965912
657000,0.3473413288593292
658000,0.3622790277004242
659000,0.37216782569885254
660000,0.36942076683044434
661000,0.3609082102775574
662000,0.37542903423309326
663000,0.35456544160842896
664000,0.4397786259651184
665000,0.444460391998291
666000,0.2865348756313324
667000,0.4391385614871979
668000,0.4287073016166687
669000,0.32144805788993835
670000,0.31537777185440063
671000,0.34457293152809143
672000,0.3534679710865021
673000,0.4090977609157562
674000,0.3413181006908417
675000,0.4221395254135132
676000,0.547082781791687
677000,0.42805275321006775
678000,0.4379473924636841
679000,0.36474087834358215
680000,0.3217920660972595
681000,0.3586878776550293
682000,0.4355575740337372
683000,0.46850016713142395
684000,0.38941413164138794
685000,0.41840752959251404
686000,0.3970213532447815
687000,0.43267250061035156
688000,0.3805979788303375
689000,0.3604089915752411
690000,0.4148125946521759
691000,0.33750665187835693
692000,0.41359826922416687
693000,0.26391345262527466
694000,0.4363900125026703
695000,0.2947648763656616
696000,0.34431758522987366
697000,0.36877065896987915
698000,0.29729148745536804
699000,0.4044806957244873
700000,0.49580118060112
701000,0.41710472106933594
702000,0.3508917987346649
703000,0.3110337555408478
704000,0.4961632192134857
705000,0.4263732433319092
706000,0.4110850989818573
707000,0.4397786259651184
708000,0.46042031049728394
709000,0.4539411962032318
710000,0.36196765303611755
711000,0.4254414737224579
712000,0.5021947622299194
713000,0.4432302415370941
714000,0.34245121479034424
715000,0.4529328942298889
716000,0.45023781061172485
717000,0.4047985374927521
718000,0.4574010372161865
719000,0.3826431334018707
720000,0.3859668970108032
721000,0.34398677945137024
722000,0.30698877573013306
723000,0.4226546287536621
724000,0.4418361783027649
725000,0.3861519992351532
726000,0.4154500663280487
727000,0.4035261273384094
728000,0.346347838640213
729000,0.4339302182197571
730000,0.39179202914237976
731000,0.3555670380592346
732000,0.45408761501312256
733000,0.3655274212360382
734000,0.30184853076934814
735000,0.3597181737422943
736000,0.5139102339744568
737000,0.431392639875412
738000,0.4266519546508789
739000,0.42947933077812195
740000,0.3327907919883728
741000,0.3725965619087219
742000,0.4145616292953491
743000,0.5288724899291992
744000,0.3935433626174927
745000,0.4139912724494934
746000,0.41202858090400696
747000,0.29858478903770447
748000,0.44601839780807495
749000,0.41703465580940247
750000,0.3814672827720642
751000,0.47476282715797424
752000,0.46362245082855225
753000,0.45726487040519714
754000,0.40840768814086914
755000,0.4395863711833954
756000,0.3520998954772949
757000,0.503948986530304
758000,0.45029640197753906
759000,0.3232468068599701
760000,0.3813081681728363
761000,0.3981177508831024
762000,0.4760446846485138
763000,0.4465113878250122
764000,0.34474295377731323
765000,0.40439462661743164
766000,0.37513798475265503
767000,0.5106989741325378
768000,0.49216583371162415
769000,0.4759965240955353
770000,0.44708165526390076
771000,0.4078472852706909
772000,0.4396558105945587
773000,0.3635379374027252
774000,0.2880367934703827
775000,0.36622190475463867
776000,0.3341110944747925
777000,0.38262057304382324
778000,0.3006689250469208
779000,0.3430810868740082
780000,0.34357714653015137
781000,0.3520332872867584
782000,0.3629608750343323
783000,0.3054884970188141
784000,0.3904946446418762
785000,0.4747728407382965
786000,0.4055668115615845
787000,0.40056291222572327
788000,0.3868250846862793
789000,0.3333670496940613
790000,0.36640775203704834
791000,0.47828739881515503
792000,0.4642232060432434
793000,0.36645543575286865
