step,reward
1000,-0.2324458
2000,-0.17607617
3000,-0.5806917
4000,-0.26635692
5000,-0.20533799
6000,-0.2374611
7000,-0.23202279
8000,-0.2172391
9000,-0.10080207
10000,-0.06747647
11000,-0.13178304
12000,-0.213749
13000,-0.11061771
14000,-0.10420557
15000,-0.02844415
16000,0.06345253
17000,0.0515979
18000,0.094566
19000,0.09079425
20000,-0.03030641
21000,0.0598508
22000,0.05155375
23000,0.18150021
24000,0.09628928
25000,0.10358836
26000,0.13457742
27000,0.13207336
28000,0.15766117
29000,0.19307934
30000,0.07848465
31000,0.05671209
32000,0.15909913
33000,0.20756462
34000,0.10577218
35000,0.2633867
36000,0.2390064
37000,0.37770745
38000,0.1966994
39000,0.3181124
40000,0.3436025
41000,0.2149209
42000,0.34561303
43000,0.23111327
44000,0.38248137
45000,0.30970398
46000,0.29756707
47000,0.22070871
48000,0.36767152
49000,0.26928794
50000,0.142991
51000,0.34131795
52000,0.38204157
53000,0.43468156
54000,0.38615045
55000,0.28923893
56000,0.3551679
57000,0.43275967
58000,0.23736562
59000,0.44791803
60000,0.30544713
61000,0.34176314
62000,0.33992845
63000,0.29301986
64000,0.40081188
65000,0.43236998
66000,0.30073866
67000,0.31700063
68000,0.3123473
69000,0.3055876
70000,0.31749138
71000,0.3459122
72000,0.34027702
73000,0.3725018
74000,0.2484518
75000,0.354765
76000,0.3031711
77000,0.3695637
78000,0.27914464
79000,0.46701232
80000,0.2387625
81000,0.22891647
82000,0.3569752
83000,0.20654102
84000,0.30240408
85000,0.3564771
86000,0.3462377
87000,0.3684118
88000,0.42522722
89000,0.34764507
90000,0.44322425
91000,0.29783386
92000,0.40580085
93000,0.3385
94000,0.32262093
95000,0.41385332
96000,0.3204607
97000,0.24898326
98000,0.335089
99000,0.2721251
100000,0.334823
101000,0.37295473
102000,0.2612744
103000,0.32015195
104000,0.31513807
105000,0.20669252
106000,0.37519008
107000,0.19549479
108000,0.3126423
109000,0.22857656
110000,0.3221228
111000,0.34486708
112000,0.42255196
113000,0.35471672
114000,0.39279222
115000,0.439097
116000,0.37525243
117000,0.2878036
118000,0.29451752
119000,0.3787864
120000,0.22393437
121000,0.33273405
122000,0.31764713
123000,0.2547179
124000,0.34575468
125000,0.36726996
126000,0.38206157
127000,0.21750638
128000,0.39037716
129000,0.42137152
130000,0.2958459
131000,0.42527628
132000,0.32370335
133000,0.3453094
134000,0.28188878
135000,0.26649934
136000,0.30244857
137000,0.28714743
138000,0.2962138
139000,0.21418042
140000,0.2724973
141000,0.2656711
142000,0.2920613
143000,0.33982396
144000,0.32993725
145000,0.2915994
146000,0.15483643
147000,0.29239458
148000,0.37099683
149000,0.27321857
150000,0.35971114
151000,0.22493705
152000,0.36171734
153000,0.33886358
154000,0.31594774
155000,0.34935227
156000,0.38041845
157000,0.24040665
158000,0.2060164
159000,0.22003645
160000,0.3608853
161000,0.29963115
162000,0.21450676
163000,0.32212624
164000,0.25421023
165000,0.26435727
166000,0.42952707
167000,0.3219669
168000,0.3259863
169000,0.19476648
170000,0.20396972
171000,0.3648033
172000,0.40414208
173000,0.35603774
174000,0.1911646
175000,0.30675688
176000,0.33155578
177000,0.33319342
178000,0.30922407
179000,0.31186727
180000,0.22354566
181000,0.27318782
182000,0.30469376
183000,0.33389413
184000,0.32814488
185000,0.2670163
186000,0.18849494
187000,0.40358981
188000,0.3874991
189000,0.30421796
190000,0.3168426
191000,0.3645528
192000,0.26297194
193000,0.31337515
194000,0.27896678
195000,0.24092662
196000,0.35489795
197000,0.5020006
198000,0.36150444
199000,0.35248142
200000,0.2913501
201000,0.35086745
202000,0.43115914
203000,0.2389252
204000,0.34109867
205000,0.23879461
206000,0.36685956
207000,0.3845063
208000,0.17701621
209000,0.37573165
210000,0.30766568
211000,0.28160653
212000,0.33059126
213000,0.39910766
214000,0.22808361
215000,0.36297378
216000,0.39389327
217000,0.3553021
218000,0.31225824
219000,0.36124095
220000,0.27639222
221000,0.2862928
222000,0.39108217
223000,0.27865374
224000,0.32649243
225000,0.36047053
226000,0.20836946
227000,0.25936854
228000,0.36574742
229000,0.38240522
230000,0.28456616
231000,0.41058227
232000,0.27630103
233000,0.24300282
234000,0.2391996
235000,0.33444297
236000,0.3031182
237000,0.27688837
238000,0.2223316
239000,0.25043732
240000,0.272479
241000,0.22665104
242000,0.23523305
243000,0.17567092
244000,0.19395569
245000,0.21557495
246000,0.23788871
247000,0.2036121
248000,0.17484614
249000,0.2357201
250000,0.2632123
251000,0.23130225
252000,0.25010258
253000,0.33888048
254000,0.38927612
255000,0.27286753
256000,0.30902508
257000,0.35734734
258000,0.28343025
259000,0.28537676
260000,0.3109604
261000,0.28798693
262000,0.35980275
263000,0.33475396
264000,0.26659605
265000,0.25730044
266000,0.21419661
267000,0.266724
268000,0.26451436
269000,0.32489198
270000,0.4089605
271000,0.40871817
272000,0.382016
273000,0.29983103
274000,0.3422882
275000,0.36305612
276000,0.25976956
277000,0.35213867
278000,0.3135377
279000,0.20976783
280000,0.31468785
281000,0.31105864
282000,0.34078303
283000,0.3536949
284000,0.35190535
285000,0.34886873
286000,0.41862905
287000,0.28086478
288000,0.3729721
289000,0.30948037
290000,0.32094064
291000,0.37056294
292000,0.41298392
293000,0.35009
294000,0.28177643
295000,0.28036755
296000,0.37129793
297000,0.39503393
298000,0.24511874
299000,0.2883906
300000,0.3917579
301000,0.20825908
302000,0.5064424
303000,0.35633305
304000,0.3975752
305000,0.34564903
306000,0.29999742
307000,0.3822495
308000,0.40371004
309000,0.45068473
310000,0.32965577
311000,0.27134496
312000,0.2933834
313000,0.31841418
314000,0.30901304
315000,0.36901003
316000,0.3973661
317000,0.36532357
318000,0.28894767
319000,0.39525038
320000,0.38982463
321000,0.21111251
322000,0.27846143
323000,0.2500507
324000,0.15821362
325000,0.318187
326000,0.30139738
327000,0.40051612
328000,0.23469055
329000,0.27605212
330000,0.30086756
331000,0.35646775
332000,0.31985635
333000,0.3741674
334000,0.28015047
335000,0.37741894
336000,0.32062277
337000,0.38904858
338000,0.3646089
339000,0.30488816
340000,0.19395357
341000,0.29962236
342000,0.30560687
343000,0.36696315
344000,0.32451865
345000,0.35693306
346000,0.44974536
347000,0.32552558
348000,0.35337815
349000,0.40355563
350000,0.31134236
351000,0.35822296
352000,0.3370457
353000,0.40870047
354000,0.2848954
355000,0.372155
356000,0.4304824
357000,0.31337622
358000,0.4111902
359000,0.2807099
360000,0.40373832
361000,0.34927514
362000,0.25675067
363000,0.38633078
364000,0.23841552
365000,0.35064143
366000,0.39660853
367000,0.3418813
368000,0.2386307
369000,0.34963122
370000,0.38784656
371000,0.28508815
372000,0.34467244
373000,0.46574304
374000,0.40653768
375000,0.4090169
376000,0.3775334
377000,0.30752498
378000,0.29135317
379000,0.33171165
380000,0.35028923
381000,0.39111015
382000,0.35017017
383000,0.37687987
384000,0.34352255
385000,0.30227175
386000,0.44391528
387000,0.17545643
388000,0.30510244
389000,0.24431151
390000,0.40888003
391000,0.32709393
392000,0.27547464
393000,0.38509843
394000,0.30717376
395000,0.44447947
396000,0.35778505
397000,0.3434442
398000,0.33878905
399000,0.25460964
400000,0.3847094
401000,0.4163281
402000,0.28372353
403000,0.36530653
404000,0.37143594
405000,0.32356954
406000,0.3958569
407000,0.31410897
408000,0.32164127
409000,0.38947877
410000,0.29587555
411000,0.37257966
412000,0.27356422
413000,0.31341025
414000,0.43742493
415000,0.3321335
416000,0.30092955
417000,0.30130547
418000,0.34768
419000,0.30091205
420000,0.3972875
421000,0.23123486
422000,0.22192915
423000,0.38003984
424000,0.35499072
425000,0.20894124
426000,0.359526
427000,0.2427441
428000,0.2831628
429000,0.45431697
430000,0.23839717
431000,0.44850713
432000,0.2766958
433000,0.32963684
434000,0.2874856
435000,0.33770517
436000,0.4178295
437000,0.3868385
438000,0.3310961
439000,0.21095681
440000,0.396129
441000,0.34476933
442000,0.40579998
443000,0.37158686
444000,0.43620285
445000,0.2602862
446000,0.3355411
447000,0.37986523
448000,0.30278558
449000,0.37514
450000,0.35033745
451000,0.2324381
452000,0.40370423
453000,0.32996246
454000,0.32482952
455000,0.36706048
456000,0.3821779
457000,0.3656204
458000,0.33112735
459000,0.30897868
460000,0.32727933
461000,0.28787857
462000,0.37364584
463000,0.38803592
464000,0.34263593
465000,0.35262108
466000,0.2402531
467000,0.33638692
468000,0.41068855
469000,0.3169742
470000,0.32612902
471000,0.39431673
472000,0.28849608
473000,0.3357043
474000,0.4004044
475000,0.3270266
476000,0.28755763
477000,0.26649264
478000,0.33552387
479000,0.32032603
480000,0.38427278
481000,0.36797264
482000,0.22632901
483000,0.14330441
484000,0.18418057
485000,0.29744187
486000,0.33217725
487000,0.29460594
488000,0.29553387
489000,0.4081573
490000,0.37071344
491000,0.41937804
492000,0.373052
493000,0.32118887
494000,0.28155294
495000,0.31030902
496000,0.21128732
497000,0.342987
498000,0.32649538
499000,0.37784
500000,0.34841573
501000,0.32166657
502000,0.36944047
503000,0.3061205
504000,0.3523506
505000,0.32773912
506000,0.27559483
507000,0.3515584
508000,0.34801003
509000,0.37806895
510000,0.39280605
511000,0.30189043
512000,0.35106158
513000,0.43354222
514000,0.3569074
515000,0.2596328
516000,0.3602721
517000,0.40358332
518000,0.4682221
519000,0.2143601
520000,0.3881305
521000,0.330586
522000,0.3651625
523000,0.32880768
524000,0.2649141
525000,0.27366573
526000,0.35098696
527000,0.2144301
528000,0.38762882
529000,0.18785211
530000,0.3059488
531000,0.3124572
532000,0.3182035
533000,0.31377688
534000,0.2586823
535000,0.29152352
536000,0.2438924
537000,0.3508338
538000,0.35921755
539000,0.40949762
540000,0.32210943
541000,0.35257813
542000,0.3677266
543000,0.40559012
544000,0.31195632
545000,0.43793806
546000,0.323786
547000,0.4859161
548000,0.4104767
549000,0.3759588
550000,0.27797368
551000,0.3537644
552000,0.3614179
553000,0.33741954
554000,0.320019
555000,0.35211268
556000,0.40496993
557000,0.28713456
558000,0.22266853
559000,0.3909586
560000,0.36332887
561000,0.26793468
562000,0.39289546
563000,0.41651696
564000,0.37308198
565000,0.3613119
566000,0.2894877
567000,0.39502597
568000,0.30189645
569000,0.40467814
570000,0.32953975
571000,0.3294317
572000,0.33931172
573000,0.35684487
574000,0.28887007
575000,0.22438829
576000,0.28332794
577000,0.3557341
578000,0.31367818
579000,0.4488799
580000,0.28804392
581000,0.28615144
582000,0.43525976
583000,0.39755675
584000,0.33710283
585000,0.3243534
586000,0.32390866
587000,0.45856014
588000,0.3287749
589000,0.40298206
590000,0.35980365
591000,0.39255613
592000,0.3933312
593000,0.38005653
594000,0.29634705
595000,0.35031533
596000,0.31668264
597000,0.2900827
598000,0.27463734
599000,0.36284256
600000,0.28408903
601000,0.4048623
602000,0.3087592
603000,0.38915065
604000,0.3259569
605000,0.29968655
606000,0.30896384
607000,0.40584722
608000,0.3215832
609000,0.37848026
610000,0.40184864
611000,0.3374054
612000,0.3329796
613000,0.2976451
614000,0.337716
615000,0.37783012
616000,0.2912974
617000,0.32486892
618000,0.38859934
619000,0.31469727
620000,0.3727674
621000,0.3047257
622000,0.3745112
623000,0.3571945
624000,0.28661045
625000,0.36773157
626000,0.2495926
627000,0.45685253
628000,0.2807684
629000,0.19682246
630000,0.36856622
631000,0.27741948
632000,0.40691572
633000,0.36014536
634000,0.2440468
635000,0.37955248
636000,0.34985697
637000,0.259051
638000,0.35413364
639000,0.40232673
640000,0.34573114
641000,0.38667175
