step,value
246000,0.43469995
247000,0.28237927
248000,0.2258374
249000,0.3227318
250000,0.33786717
251000,0.27892202
252000,0.32289395
253000,0.23210922
254000,0.47048435
255000,0.35554975
256000,0.31294873
257000,0.2618232
258000,0.30947545
259000,0.35883614
260000,0.1919957
261000,0.28487554
262000,0.28391594
263000,0.2721752
264000,0.26698038
265000,0.34871116
266000,0.37638772
267000,0.2863701
268000,0.26799795
269000,0.3369749
270000,0.25473368
271000,0.24405885
272000,0.3523636
273000,0.33439565
274000,0.31039423
275000,0.3699012
276000,0.36775863
277000,0.3925545
278000,0.25032926
279000,0.36639556
280000,0.38459924
281000,0.32513624
282000,0.4019479
283000,0.26969117
284000,0.24880722
285000,0.21886183
286000,0.32774353
287000,0.3815318
288000,0.22717734
289000,0.21343753
290000,0.23988444
291000,0.28271487
292000,0.2843417
293000,0.31266692
294000,0.30291608
295000,0.40565875
296000,0.3739621
297000,0.28853315
298000,0.39260018
299000,0.2803184
300000,0.3001801
301000,0.4122024
302000,0.3345213
303000,0.27502435
304000,0.32481906
305000,0.37049344
306000,0.30898523
307000,0.39135405
308000,0.38511604
309000,0.20776618
310000,0.41859037
311000,0.30103534
312000,0.25572944
313000,0.41427803
314000,0.31736878
315000,0.27873036
316000,0.3391157
317000,0.19919784
318000,0.28445286
319000,0.3515778
320000,0.24918684
321000,0.33976188
322000,0.42552373
323000,0.34915668
324000,0.32232487
325000,0.19100656
326000,0.34061432
327000,0.37883416
328000,0.36824888
329000,0.37730625
330000,0.30266812
331000,0.42838627
332000,0.16965573
333000,0.43532515
334000,0.36676595
335000,0.3193256
336000,0.3235064
337000,0.3652755
338000,0.3976389
339000,0.347355
340000,0.4116017
341000,0.33958957
342000,0.3559561
343000,0.31238073
344000,0.3372392
345000,0.44129902
346000,0.37913772
347000,0.36376292
348000,0.44007015
349000,0.33047917
350000,0.430693
351000,0.2821639
352000,0.34705538
353000,0.38420743
354000,0.33329538
355000,0.43470663
356000,0.39487427
357000,0.49109906
358000,0.36645886
359000,0.38332477
360000,0.4107765
361000,0.40901315
362000,0.39585122
363000,0.42928374
364000,0.27803472
365000,0.46965194
366000,0.38869625
367000,0.35300636
368000,0.35410902
369000,0.38586396
370000,0.3738696
371000,0.24595743
372000,0.43123502
373000,0.2346917
374000,0.47752482
375000,0.4180705
376000,0.2299068
377000,0.4046063
378000,0.3114705
379000,0.32807514
380000,0.32783297
381000,0.4457323
382000,0.3418748
383000,0.46491036
384000,0.3518213
385000,0.34258413
386000,0.27217868
387000,0.3485284
388000,0.36593404
389000,0.26409116
390000,0.4068687
391000,0.3942186
392000,0.26143667
393000,0.49915665
394000,0.4427521
395000,0.3557915
396000,0.41912773
397000,0.3209132
398000,0.34247756
399000,0.33383986
400000,0.41250092
401000,0.45309305
402000,0.30852774
403000,0.42318586
404000,0.19525836
405000,0.3559485
406000,0.31350842
407000,0.42304912
408000,0.30180168
409000,0.3191118
410000,0.20134741
411000,0.41166332
412000,0.3699334
413000,0.29782876
414000,0.38242123
415000,0.2690453
416000,0.34008574
417000,0.39780265
418000,0.41265264
419000,0.39746496
420000,0.35326555
421000,0.2846838
422000,0.2639698
423000,-0.01463456
424000,0.00621099
425000,0.20815827
426000,0.28082812
427000,0.31734076
428000,0.24825563
429000,0.43055376
430000,0.3987158
431000,0.20581932
432000,0.30943608
433000,0.38356575
434000,0.3132046
435000,0.4211955
436000,0.2539543
437000,0.41605645
438000,0.33036703
439000,0.4357475
440000,0.39752197
441000,0.32796916
442000,0.28057468
443000,0.33572784
444000,0.4118849
445000,0.32825267
446000,0.3345811
447000,0.33551657
448000,0.4422213
449000,0.41908377
450000,0.29052088
451000,0.41330156
452000,0.28740576
453000,0.30498773
454000,0.31957588
455000,0.3927512
456000,0.37336555
457000,0.33688787
458000,0.32693225
459000,0.20510273
460000,0.39512727
461000,0.3078504
462000,0.40296155
463000,0.35771346
464000,0.255927
465000,0.31686142
466000,0.26244003
467000,0.5077286
468000,0.40567005
469000,0.40601182
470000,0.23521408
471000,0.37702537
472000,0.40538782
473000,0.29028443
474000,0.33491716
475000,0.3503901
476000,0.37218612
477000,0.2899038
478000,0.29308745
479000,0.29882845
480000,0.37560108
481000,0.42449403
482000,0.27860758
483000,0.3104172
484000,0.38216105
485000,0.34769133
486000,0.42305273
487000,0.42556974
488000,0.39503273
489000,0.38882577
490000,0.4637272
491000,0.45083573
492000,0.3652398
493000,0.37451628
494000,0.23220263
495000,0.4348249
496000,0.39117208
497000,0.391983
498000,0.3763188
499000,0.33953616
500000,0.43933496
501000,0.34821957
502000,0.36376968
503000,0.32170454
504000,0.29952183
505000,0.3102522
506000,0.31335092
507000,0.283335
508000,0.39892375
509000,0.43217546
510000,0.240587
511000,0.23672771
512000,0.4562068
513000,0.36863908
514000,0.3375069
515000,0.40848914
516000,0.3759061
517000,0.25972962
518000,0.39846566
519000,0.21522254
520000,0.2729327
521000,0.4936997
522000,0.2461539
523000,0.2835226
524000,0.32336
525000,0.3675447
526000,0.32355103
527000,0.35745883
528000,0.41590366
529000,0.38969624
530000,0.37497705
531000,0.25765464
532000,0.42112035
533000,0.39639145
534000,0.36197376
535000,0.33023256
536000,0.33756715
537000,0.4035199
538000,0.45903245
539000,0.33106503
540000,0.3455972
541000,0.3442916
542000,0.3330798
543000,0.4201552
544000,0.3915744
545000,0.35770094
546000,0.3732424
547000,0.45952162
548000,0.45885813
549000,0.4190768
550000,0.4456705
551000,0.4624893
552000,0.51809216
553000,0.2153834
554000,0.3117151
555000,0.35623896
556000,0.4107541
557000,0.42570466
558000,0.50768477
559000,0.37532854
560000,0.46300447
561000,0.4075277
562000,0.36607695
